formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess,bandgap,bandgap_sigma,norm_formula,HHI,SR
TbEuS3,Eu,Tb,S,3.0,3.0,-2.0,1.2,1.1,2.58,1.088,184.0,164.0,92.41,-1.38,-1.48,-2.24,-2.34,1.774699707823829,0.5022282608695652,0.8913043478260869,0.6160714285714286,0.6324786324786326,-2.76744646,-3.0839381900000022,-7.00838179000003,-2.76744655500174,-1.3025399247139844,0.8145175879610062,0.4802925635161391,0.4848213986217848,-2.847077729734469,6.002313428086848,6.119534423052706,11.769320157021456,31.35,29.39,74.72999999999999,267.74,257.89,84.92999999999999,114.02,112.45,273.21,0.7568625112590074,0.8902491939777812,2.272523408973321,0.8671551330818809,1.924277782440185,0.3019002079963684,EuTbS3,1.075820153965853,0.6093322094844918
EuUS3,Eu,U,S,2.0,4.0,-2.0,1.2,1.38,2.58,1.032,184.0,164.0,99.0,-1.38,-1.2000000000000002,-2.24,-2.06,1.6565656565656566,0.5380434782608695,0.8913043478260869,0.6160714285714286,0.5825242718446603,-2.76744646,-1.99527278,-7.00838179000003,-2.76744655500174,-1.9952728484943232,0.8145175879610062,0.4802925635161391,0.546861732757815,-2.847077729734469,6.002313428086848,5.590257855882314,11.769320157021456,31.35,187.98,74.72999999999999,267.74,241.76,84.92999999999999,114.02,131.23,273.21,0.7545716601668887,0.8695186562098887,4.422535887324255,0.9195936145362616,1.765608310699463,0.4478161931037903,EuUS3,0.5883702703679718,0.3323489621168656
EuUSe3,Eu,U,Se,2.0,4.0,-2.0,1.2,1.38,2.55,1.014,198.0,164.0,99.0,-1.35,-1.17,-2.24,-2.06,1.6565656565656566,0.5,0.8282828282828283,0.6026785714285713,0.5679611650485437,-2.76744646,-1.99527278,-6.510488250000024,-2.76744655500174,-1.9952728484943232,-0.2111875472497096,0.4802925635161391,0.546861732757815,-2.730814399751447,6.002313428086848,5.590257855882314,10.84576444731508,31.35,187.98,79.97,267.74,241.76,95.78,114.02,131.23,23.97,0.7647839476137247,0.8618629615511266,4.563950028738397,0.9145455189536336,1.334890365600586,0.2059216499328613,EuUSe3,0.7939632424720449,0.44565922653818
SrSnS3,Sr,Sn,S,2.0,4.0,-2.0,0.95,1.96,2.58,0.966,184.0,168.0,86.0,-1.63,-0.6200000000000001,-2.49,-1.48,1.9534883720930232,0.4673913043478261,0.9130434782608696,0.6546184738955824,0.4189189189189189,-3.5257832000000016,-3.6934392700000016,-7.00838179000003,-1.2811882639810177,-3.693439396789498,0.8145175879610062,0.150586057166743,-1.0130803347838755,-2.847077729734469,5.884929518021573,6.875250052003975,11.769320157021456,195.84,106.59,74.72999999999999,254.93,135.54,84.92999999999999,111.21,46.940000000000005,273.21,0.8215029328415404,0.9218600516922548,3.97418154426762,1.4405332223749163,1.7255971431732178,0.3852832913398742,SnSrS3,0.5811631767394583,0.3363842698738597
SrPrS3,Sr,Pr,S,2.0,4.0,-2.0,0.95,1.13,2.58,1.132,184.0,168.0,84.98,-1.63,-1.4500000000000002,-2.49,-2.31,1.9769357495881383,0.4618478260869565,0.9130434782608696,0.6546184738955824,0.6277056277056278,-3.5257832000000016,-2.320982129999998,-7.00838179000003,-1.2811882639810177,-2.320982209675374,0.8145175879610062,0.150586057166743,0.1152585549847216,-2.847077729734469,5.884929518021573,5.700078313684422,11.769320157021456,195.84,201.97,74.72999999999999,254.93,271.35,84.92999999999999,111.21,117.98,273.21,0.8334342944083828,0.9253558404227408,3.966525362220052,0.9650304240254108,2.3521203994750977,0.3849501609802246,PrSrS3,0.9252817089965384,0.529837391288268
SrCeS3,Sr,Ce,S,2.0,4.0,-2.0,0.95,1.12,2.58,1.134,184.0,168.0,86.8,-1.63,-1.46,-2.49,-2.32,1.935483870967742,0.4717391304347826,0.9130434782608696,0.6546184738955824,0.6293103448275862,-3.5257832000000016,-2.5303330600000007,-7.00838179000003,-1.2811882639810177,-2.5303331468620374,0.8145175879610062,0.150586057166743,0.0869328039854952,-2.847077729734469,5.884929518021573,5.700526061695872,11.769320157021456,195.84,204.28,74.72999999999999,254.93,257.54,84.92999999999999,111.21,118.68,273.21,0.8122436074287438,0.9191366837404312,3.981744359663545,0.9561003694869384,2.10228967666626,0.611510157585144,CeSrS3,0.9252817089965384,0.529837391288268
SrUS3,Sr,U,S,2.0,4.0,-2.0,0.95,1.38,2.58,1.082,184.0,168.0,99.0,-1.63,-1.2000000000000002,-2.49,-2.06,1.696969696969697,0.5380434782608695,0.9130434782608696,0.6546184738955824,0.5825242718446603,-3.5257832000000016,-1.99527278,-7.00838179000003,-1.2811882639810177,-1.9952728484943232,0.8145175879610062,0.150586057166743,0.546861732757815,-2.847077729734469,5.884929518021573,5.590257855882314,11.769320157021456,195.84,187.98,74.72999999999999,254.93,241.76,84.92999999999999,111.21,131.23,273.21,0.6991290769448593,0.879513123522646,4.276241281239079,0.9883631747537952,2.1624343395233154,0.5361005067825317,SrUS3,0.4378318253986574,0.2528541439206417
SrUSe3,Sr,U,Se,2.0,4.0,-2.0,0.95,1.38,2.55,1.0639999999999998,198.0,168.0,99.0,-1.6,-1.17,-2.49,-2.06,1.696969696969697,0.5,0.8484848484848485,0.6425702811244979,0.5679611650485437,-3.5257832000000016,-1.99527278,-6.510488250000024,-1.2811882639810177,-1.9952728484943232,-0.2111875472497096,0.150586057166743,0.546861732757815,-2.730814399751447,5.884929518021573,5.590257855882314,10.84576444731508,195.84,187.98,79.97,254.93,241.76,95.78,111.21,131.23,23.97,0.7664822181464274,0.8713863091925755,4.41765542265322,0.9858542804032296,2.1546688079833984,0.3129798173904419,SrUSe3,0.6434247975027304,0.3661644083419562
CaCeS3,Ca,Ce,S,2.0,4.0,-2.0,1.0,1.12,2.58,1.124,184.0,156.0,86.8,-1.58,-1.46,-2.44,-2.32,1.7972350230414746,0.4717391304347826,0.8478260869565217,0.6475409836065574,0.6293103448275862,-3.766160950000002,-2.5303330600000007,-7.00838179000003,-1.9458476867976409,-2.5303331468620374,0.8145175879610062,0.1499954621481116,0.0869328039854952,-2.847077729734469,6.309260154585895,5.700526061695872,11.769320157021456,179.84,204.28,74.72999999999999,231.02,257.54,84.92999999999999,67.61,118.68,273.21,0.8246503882954872,0.8878024786129166,4.251114283564172,0.9135214365606074,2.0408778190612797,0.5082849264144897,CaCeS3,1.8050610754499763,1.0228364635043223
CaUSe3,Ca,U,Se,2.0,4.0,-2.0,1.0,1.38,2.55,1.054,198.0,156.0,99.0,-1.5499999999999998,-1.17,-2.44,-2.06,1.5757575757575757,0.5,0.7878787878787878,0.6352459016393442,0.5679611650485437,-3.766160950000002,-1.99527278,-6.510488250000024,-1.9458476867976409,-1.9952728484943232,-0.2111875472497096,0.1499954621481116,0.546861732757815,-2.730814399751447,6.309260154585895,5.590257855882314,10.84576444731508,179.84,187.98,79.97,231.02,241.76,95.78,67.61,131.23,23.97,0.8440645218510212,0.8428162662682288,4.930425703356857,0.9426623014552524,2.2467269897460938,0.3058312833309173,CaUSe3,1.5232041639561682,0.8591634805580104
