formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess,bandgap,bandgap_sigma
CeEuS3,Eu,Ce,S,3.0,3.0,-2.0,1.2,1.12,2.58,1.084,184.0,164.0,101.03,-1.38,-1.46,-2.24,-2.32,1.623280213797882,0.5490760869565218,0.8913043478260869,0.6160714285714286,0.6293103448275862,-2.76744646,-2.5303330600000007,-7.00838179000003,-2.76744655500174,-2.5303331468620374,0.8145175879610062,0.4802925635161391,0.0869328039854952,-2.847077729734469,6.002313428086848,5.700526061695872,11.769320157021456,31.35,204.28,74.72999999999999,267.74,257.54,84.92999999999999,114.02,118.68,273.21,0.7969345298632441,0.863325894493206,2.8735715772992823,0.8451639505288187,1.5890904664993286,0.2201804667711258
CeEuSe3,Eu,Ce,Se,3.0,3.0,-2.0,1.2,1.12,2.55,1.0659999999999998,198.0,164.0,101.03,-1.35,-1.4299999999999995,-2.24,-2.32,1.623280213797882,0.5102525252525253,0.8282828282828283,0.6026785714285713,0.6163793103448275,-2.76744646,-2.5303330600000007,-6.510488250000024,-2.76744655500174,-2.5303331468620374,-0.2111875472497096,0.4802925635161391,0.0869328039854952,-2.730814399751447,6.002313428086848,5.700526061695872,10.84576444731508,31.35,204.28,79.97,267.74,257.54,95.78,114.02,118.68,23.97,0.7960934950446094,0.85601210440653,3.01214427847715,0.8369848623255656,1.1722697019577026,0.06679798662662506
YbEuS3,Eu,Yb,S,3.0,3.0,-2.0,1.2,1.1,2.58,1.088,184.0,164.0,102.0,-1.38,-1.48,-2.24,-2.34,1.607843137254902,0.5543478260869565,0.8913043478260869,0.6160714285714286,0.6324786324786326,-2.76744646,-3.076992080000003,-7.00838179000003,-2.76744655500174,-1.0944533775707237,0.8145175879610062,0.4802925635161391,0.4767999173605045,-2.847077729734469,6.002313428086848,6.531525574217345,11.769320157021456,31.35,173.83,74.72999999999999,267.74,248.9,84.92999999999999,114.02,112.51,273.21,0.8170333189687436,0.8603978311447499,2.9609952038198246,0.8380781480250442,1.557271122932434,0.2519032657146454
YbEuSe3,Eu,Yb,Se,3.0,3.0,-2.0,1.2,1.1,2.55,1.07,198.0,164.0,102.0,-1.35,-1.4499999999999995,-2.24,-2.34,1.607843137254902,0.5151515151515151,0.8282828282828283,0.6026785714285713,0.6196581196581196,-2.76744646,-3.076992080000003,-6.510488250000024,-2.76744655500174,-1.0944533775707237,-0.2111875472497096,0.4802925635161391,0.4767999173605045,-2.730814399751447,6.002313428086848,6.531525574217345,10.84576444731508,31.35,173.83,79.97,267.74,248.9,95.78,114.02,112.51,23.97,0.8154467856872191,0.8532443319356154,3.0982501057806084,0.8298641762883648,1.249619960784912,0.07224298268556595
EuYS3,Eu,Y,S,3.0,3.0,-2.0,1.2,1.22,2.58,1.064,184.0,164.0,101.0,-1.38,-1.36,-2.24,-2.22,1.623762376237624,0.5489130434782609,0.8913043478260869,0.6160714285714286,0.6126126126126127,-2.76744646,-2.518776380000004,-7.00838179000003,-2.76744655500174,-2.5187764664653174,0.8145175879610062,0.4802925635161391,0.1564045493718278,-2.847077729734469,6.002313428086848,6.250735714575128,11.769320157021456,31.35,178.5,74.72999999999999,267.74,235.81,84.92999999999999,114.02,94.26,273.21,0.7963114573083404,0.8634167709031526,2.870937866473477,0.8682916292472748,1.8266106843948364,0.23254920542240143
EuYSe3,Eu,Y,Se,3.0,3.0,-2.0,1.2,1.22,2.55,1.046,198.0,164.0,101.0,-1.35,-1.3299999999999998,-2.24,-2.22,1.623762376237624,0.51010101010101,0.8282828282828283,0.6026785714285713,0.5990990990990991,-2.76744646,-2.518776380000004,-6.510488250000024,-2.76744655500174,-2.5187764664653174,-0.2111875472497096,0.4802925635161391,0.1564045493718278,-2.730814399751447,6.002313428086848,6.250735714575128,10.84576444731508,31.35,178.5,79.97,267.74,235.81,95.78,114.02,94.26,23.97,0.795493479143197,0.8560979919086442,3.009551727859616,0.8612129705122873,1.4942774772644043,0.1131277084350586
EuDyS3,Eu,Dy,S,3.0,3.0,-2.0,1.2,1.22,2.58,1.064,184.0,164.0,103.0,-1.38,-1.36,-2.24,-2.22,1.5922330097087378,0.5597826086956522,0.8913043478260869,0.6160714285714286,0.6126126126126127,-2.76744646,-3.164901719999999,-7.00838179000003,-2.76744655500174,-1.1732693202763391,0.8145175879610062,0.4802925635161391,0.4711191951556382,-2.847077729734469,6.002313428086848,6.187951074411365,11.769320157021456,31.35,28.52,74.72999999999999,267.74,256.01,84.92999999999999,114.02,111.98,273.21,0.8376590591315,0.8573999292940714,3.05584347031666,0.862240816499907,1.9271477460861206,0.40193068981170654
EuDySe3,Eu,Dy,Se,3.0,3.0,-2.0,1.2,1.22,2.55,1.046,198.0,164.0,103.0,-1.35,-1.3299999999999998,-2.24,-2.22,1.5922330097087378,0.5202020202020202,0.8282828282828283,0.6026785714285713,0.5990990990990991,-2.76744646,-3.164901719999999,-6.510488250000024,-2.76744655500174,-1.1732693202763391,-0.2111875472497096,0.4802925635161391,0.4711191951556382,-2.730814399751447,6.002313428086848,6.187951074411365,10.84576444731508,31.35,28.52,79.97,267.74,256.01,95.78,114.02,111.98,23.97,0.8353039707335942,0.8504096331584207,3.1917658004137475,0.8554906251932687,1.3706903457641602,0.12042313814163208
EuTmS3,Eu,Tm,S,3.0,3.0,-2.0,1.2,1.25,2.58,1.058,184.0,164.0,100.0,-1.38,-1.33,-2.24,-2.19,1.64,0.5434782608695652,0.8913043478260869,0.6160714285714286,0.6073059360730594,-2.76744646,-3.153999099999999,-7.00838179000003,-2.76744655500174,-1.0724057668138651,0.8145175879610062,0.4802925635161391,0.5222435779285232,-2.847077729734469,6.002313428086848,6.424661898518719,11.769320157021456,31.35,176.24,74.72999999999999,267.74,254.47,84.92999999999999,114.02,111.95,273.21,0.7754915612377814,0.866456970800699,2.7854970220493342,0.8789628951241516,1.7321643829345703,0.25712016224861145
EuTmSe3,Eu,Tm,Se,3.0,3.0,-2.0,1.2,1.25,2.55,1.0399999999999998,198.0,164.0,100.0,-1.35,-1.2999999999999998,-2.24,-2.19,1.64,0.5050505050505051,0.8282828282828283,0.6026785714285713,0.593607305936073,-2.76744646,-3.153999099999999,-6.510488250000024,-2.76744655500174,-1.0724057668138651,-0.2111875472497096,0.4802925635161391,0.5222435779285232,-2.730814399751447,6.002313428086848,6.424661898518719,10.84576444731508,31.35,176.24,79.97,267.74,254.47,95.78,114.02,111.95,23.97,0.7754421381890194,0.858970803962029,2.9254970220493344,0.8720972465363113,1.315288782119751,0.07152736186981201
