Formula,tau_star,Bandgap_eV,BG_Deviation,HHI,Supply_Risk,CLS,bg_score,sr_score,cls_score,Composite_Score,Rank
CeScS3,0.8211820881975593,1.7707581520080566,0.43075815200805656,1.586280889414111,0.899135507047661,0.982454150915146,0.3215285492193349,0.8508924989948639,0.017545849084854015,0.39665563243301766,22
EuScS3,0.8171895905043726,1.796979904174805,0.45697990417480483,1.586280889414111,0.899135507047661,0.9877445757389068,0.3414496884457865,0.8508924989948639,0.012255424261093162,0.4015325372339145,23
GdScS3,0.8203213789320561,1.8258785009384155,0.48587850093841545,1.586280889414111,0.899135507047661,0.980566133260727,0.36340447491146777,0.8508924989948639,0.019433866739273054,0.4112436135485349,24
DyScS3,0.8094842328623171,1.917428731918335,0.5774287319183349,1.586280889414111,0.899135507047661,0.9849861258268356,0.4329568406712784,0.8508924989948639,0.015013874173164354,0.4329544046131022,25
SrSnS3,0.8215029328415404,1.7255971431732178,0.3855971431732177,,,0.9805107033252716,0.28721891426875007,1.0,0.01948929667472843,0.43556940364782615,26
PrScS3,0.8223488913072079,1.893248200416565,0.5532482004165649,1.586280889414111,0.899135507047661,0.927211154922843,0.41458645369053315,0.8508924989948639,0.072788845077157,0.44608926592085135,27
LaScS3,0.8181678859701509,1.9694440364837649,0.6294440364837648,1.586280889414111,0.899135507047661,0.975183838903904,0.4724738080182669,0.8508924989948639,0.024816161096095968,0.4493941560364089,28
EuDyS3,0.8376590591314997,1.8718514442443848,0.5318514442443847,,,0.9316943249106407,0.3983309511600438,1.0,0.06830567508935925,0.48887887541646763,29
SmLuS3,0.7545716601668887,1.8745731115341189,0.5345731115341188,,,0.9140395291894674,0.40039865100946986,1.0,0.0859604708105326,0.4954530406066675,30
TbScS3,0.8193392802648035,1.976104974746704,0.636104974746704,,,0.9562970530986786,0.4775342432504738,1.0,0.04370294690132137,0.5070790633839318,31
SmScS3,0.8171895905043726,1.927302598953247,0.587302598953247,,,0.8797870651632548,0.4404581959832773,1.0,0.12021293483674522,0.5202237102733408,32
CaCeS3,0.8246503882954872,2.0408778190612797,0.7008778190612797,1.8050610754499763,1.0228364635043223,0.702813514098525,0.526743344209037,1.0,0.297186485901475,0.6079766100368373,33
CdCeS3,0.8246503882954872,2.1258251667022705,0.7858251667022704,0.7919107249997773,0.4420233233626266,,0.5912793801120801,0.2998955031700521,1.0,0.6303916277607108,34
SrCeS3,0.812243607428744,2.10228967666626,0.7622896766662601,,,0.6647616340429522,0.5733990427956182,1.0,0.3352383659570478,0.6362124695842221,35
EuTbS3,0.7568625112590074,1.924277782440185,0.584277782440185,1.075820153965853,0.609332209484492,,0.43816018818776503,0.5015674273020571,1.0,0.6465758718299407,36
CeLuSe3,0.7981340807144556,1.3475372791290283,0.00753727912902824,,,,0.0,1.0,1.0,0.6666666666666666,37
SrPrS3,0.8334342944083828,2.3521203994750977,1.0121203994750976,,,0.759933307080064,0.7631999600062961,1.0,0.240066692919936,0.6677555509754107,38
EuLuSe3,0.7647839476137247,1.3527798652648926,0.012779865264892498,,,,0.003982887476591095,1.0,1.0,0.6679942958255304,39
CeTmSe3,0.8182854266689673,1.316669464111328,0.023330535888672177,,,,0.011998422712076958,1.0,1.0,0.6706661409040257,40
EuDySe3,0.835303970733594,1.315229892730713,0.02477010726928719,,,,0.013092091118264293,1.0,1.0,0.6710306970394214,41
EuTmSe3,0.7754421381890192,1.366426944732666,0.026426944732665936,,,,0.014350820495831362,1.0,1.0,0.6714502734986105,42
EuTbSe3,0.8336685998483656,1.3677328824996948,0.027732882499694744,,,,0.015342965029599507,1.0,1.0,0.6717809883431999,43
BiTbSe3,0.8328333480767043,1.3077232837677002,0.032276716232299885,,,,0.018794997671562334,1.0,1.0,0.6729316658905207,44
SmInSe3,0.8381152206992745,1.3729002475738523,0.03290024757385224,,,,0.01926870570556901,1.0,1.0,0.673089568568523,45
LaInSe3,0.8116338166938193,1.305222511291504,0.034777488708496174,,,,0.020694879737229895,1.0,1.0,0.6735649599124099,46
PrLuSe3,0.8440645218510212,1.3790125846862793,0.03901258468627922,,,,0.023912358724686278,1.0,1.0,0.6746374529082289,47
InScSe3,0.8136544730746447,1.2890655994415283,0.05093440055847176,,,,0.032969577796539036,1.0,1.0,0.6776565259321797,48
TbInSe3,0.8145749906570834,1.2865887880325315,0.053411211967468564,,,,0.03485125620622435,1.0,1.0,0.6782837520687415,49
EuPrSe3,0.7617582266971877,1.286078691482544,0.053921308517456135,,,,0.03523878577810861,1.0,1.0,0.678412928592703,50
BiLuSe3,0.7666879944977187,1.2846031188964844,0.055396881103515705,,,,0.03635980495099606,1.0,1.0,0.678786601650332,51
EuCeSe3,0.7960934950446091,1.2595584392547607,0.08044156074523934,,,,0.05538670089799281,1.0,1.0,0.6851289002993309,52
DyInSe3,0.8139280118655856,1.2547123432159424,0.0852876567840577,,,,0.059068367679073835,1.0,1.0,0.6863561225596913,53
BiTmSe3,0.7868393404522303,1.2478148937225342,0.0921851062774659,,,,0.06430848476933625,1.0,1.0,0.6881028282564454,54
SnVSe3,0.754376825417749,1.4330658912658691,0.09306589126586906,,,,0.06497763305015931,1.0,1.0,0.6883258776833864,55
GdInSe3,0.8173555893333029,1.24076509475708,0.09923490524292,,,,0.0696643445080839,1.0,1.0,0.689888114836028,56
BiInS3,0.7626318601039865,1.4404661655426023,0.10046616554260224,,,,0.07059975521969442,1.0,1.0,0.6901999184065648,57
