File Name,Compound,Initial Energy (eV),Relaxed Energy (eV),Initial Energy/Atom (eV/atom),Relaxed Energy/Atom (eV/atom),Energy Reduction/Atom (eV/atom),Abs Energy Reduction
HfCuSe3_1.cif,CuHfSe3,-109.15550540032187,-110.42641273898397,-5.457775270016094,-5.5213206369491985,0.06354536693310475,0.06354536693310475
BaPrS3_1.cif,BaPrS3,-108.71920471940025,-108.99357843582435,-5.435960235970013,-5.449678921791217,0.013718685821204168,0.013718685821204168
LaZrS3_1.cif,LaZrS3,-140.41554474053595,-140.6349792741874,-7.020777237026797,-7.03174896370937,0.01097172668257329,0.01097172668257329
LaTbS3_1.cif,LaTbS3,-129.60876074992683,-129.93505068844354,-6.4804380374963415,-6.496752534422177,0.016314496925835087,0.016314496925835087
BaHfS3_1.cif,BaHfS3,-133.47656806916095,-133.6211942446715,-6.673828403458048,-6.681059712233575,0.007231308775526912,0.007231308775526912
PrUSe3_1.cif,PrUSe3,-131.93056418425675,-134.10370300206026,-6.5965282092128374,-6.705185150103013,0.10865694089017541,0.10865694089017541
DyZrS3_1.cif,DyZrS3,-136.64482150402597,-136.9917587951171,-6.832241075201298,-6.849587939755855,0.017346864554556696,0.017346864554556696
EuTmS3_1.cif,EuTmS3,-145.56272708409855,-145.64342706398182,-7.2781363542049275,-7.282171353199091,0.004034998994163708,0.004034998994163708
CeUS3_1.cif,CeUS3,-146.806955029809,-148.64850472909444,-7.34034775149045,-7.432425236454722,0.09207748496427204,0.09207748496427204
SmScS3_1.cif,ScSmS3,-133.119233641095,-133.16537034663665,-6.65596168205475,-6.658268517331832,0.0023068352770820866,0.0023068352770820866
YbSmS3_1.cif,SmYbS3,-124.50242540697151,-127.27393658238624,-6.225121270348575,-6.363696829119312,0.13857555877073668,0.13857555877073668
SmUSe3_1.cif,SmUSe3,-131.7879423836372,-132.97029635981374,-6.589397119181859,-6.648514817990687,0.05911769880882822,0.05911769880882822
HfCuS3_1.cif,CuHfS3,-112.40898517329941,-121.301387573076,-5.620449258664971,-6.0650693786538,0.4446201199888291,0.4446201199888291
SrUSe3_1.cif,SrUSe3,-122.35933230656218,-123.0760346732933,-6.117966615328109,-6.153801733664665,0.03583511833655528,0.03583511833655528
TbEuS3_1.cif,EuTbS3,-143.2793272622019,-145.70181422219912,-7.163966363110094,-7.285090711109956,0.12112434799986183,0.12112434799986183
BaUS3_1.cif,BaUS3,-136.19646313347624,-136.29042068209225,-6.809823156673812,-6.8145210341046125,0.00469787743080019,0.00469787743080019
DyScS3_1.cif,DyScS3,-132.49852673073212,-132.50211265704684,-6.624926336536606,-6.625105632852342,0.0001792963157356553,0.0001792963157356553
SrSnS3_1.cif,SnSrS3,-91.39217475639549,-91.6724266963318,-4.569608737819775,-4.5836213348165895,0.014012596996814786,0.014012596996814786
EuUS3_1.cif,EuUS3,-168.1536598157153,-168.9158144184035,-8.407682990785764,-8.445790720920176,0.03810773013441171,0.03810773013441171
CeCdS3_1.cif,CdCeS3,-97.8425163695283,-100.05629566390141,-4.892125818476415,-5.0028147831950704,0.11068896471865575,0.11068896471865575
