,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,material,exp_label,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA,rB,chi_AX_ratio,chi_BX_ratio,chi_diff,log_rA_rB_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,CsMnF3,0.0,133.0,1.0,2.0,-1.0,0.79,1.55,3.98,0.6240601503759398,1.413533834586466,-3.19,-2.43,-2.65,-1.89,188.0,83.0,1.2037735849056603,1.2857142857142858,1.92,0.8176013550333515,-2.0859241200000014,-4.411136790000002,-11.111416699999976,-0.4792429764515966,-0.936468712147378,1.136681619020348,-0.5452966317296846,-1.152247272554489,-4.336301480858267,3.8635765556284616,7.312724883033412,19.391595983680425,253.57,40.830000000000005,40.44,319.04,205.42,37.4,202.25,137.51,143.19,2.265060240963856,0.5932155283192433,1.0508418913111286,3.372782054181464,0.983869997189832,0.982077740433381
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,CsVCl3,0.0,181.0,1.0,2.0,-1.0,0.79,1.63,3.16,0.43646408839779,1.0386740331491713,-2.37,-1.5300000000000002,-2.65,-1.81,188.0,79.0,0.8943396226415095,0.845303867403315,1.4120000000000004,0.8669941103629276,-2.0859241200000014,-4.348428499999998,-8.594666479999974,-0.4792429764515966,-4.348428649274164,0.0197235606770763,-0.5452966317296846,-0.78074486180114,-3.935229981089612,3.8635765556284616,7.169663669121636,13.876021229339663,253.57,148.18,67.85000000000001,319.04,205.66,75.67,202.25,47.59,224.95,2.3797468354430378,0.7851011575341278,1.0035502289127989,4.03596392500951,1.0617657952811033,0.6768095338161428
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,RbVF3,1.0,133.0,1.0,2.0,-1.0,0.82,1.63,3.98,0.5939849624060151,1.2932330827067668,-3.16,-2.35,-2.62,-1.81,172.0,79.0,1.2061068702290076,1.298342541436464,1.898,0.7780466243464316,-2.23129531,-4.348428499999998,-11.111416699999976,-0.6626547127478113,-4.348428649274164,1.136681619020348,-0.5654554674099543,-0.78074486180114,-4.336301480858267,4.153592876586776,7.169663669121636,19.391595983680425,231.42,148.18,40.44,324.0,205.66,37.4,240.1,47.59,143.19,2.1772151898734178,0.0915902979667002,1.0173024128545398,3.481853713214037,0.9450321391201604,0.9999959945729072
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,SnTaS3,0.0,184.0,2.0,4.0,-2.0,1.96,1.5,2.58,0.3695652173913044,0.6249999999999999,-0.6200000000000001,-1.08,-1.48,-1.94,160.7,79.0,0.4189189189189189,0.5567010309278351,0.8560000000000001,0.5254244231871432,-3.6934392700000016,-3.5963150900000027,-7.00838179000003,-3.693439396789498,-3.5963152134553904,0.8145175879610062,-1.0130803347838755,-0.2825051047029557,-2.847077729734469,6.875250052003975,7.686524689847838,11.769320157021456,106.59,146.65,74.72999999999999,135.54,204.33,84.92999999999999,46.940000000000005,83.7,273.21,2.034177215189873,0.9062837981871432,0.9267692830857508,4.058452871415886,0.6973962047644775,0.2063277547254747
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,EuZrSe3,0.0,198.0,2.0,4.0,-2.0,1.2,1.33,2.55,0.3636363636363636,0.6818181818181819,-1.35,-1.2199999999999998,-2.24,-2.11,153.0,85.0,0.6026785714285714,0.5781990521327013,1.0239999999999998,0.6286086594223741,-2.76744646,-3.6022224400000007,-6.510488250000024,-2.76744655500174,-3.602222563658176,-0.2111875472497096,0.4802925635161391,-0.2714066713124998,-2.730814399751447,6.002313428086848,7.139550537079975,10.84576444731508,31.35,166.94,79.97,267.74,222.0,95.78,114.02,84.44,23.97,1.8,0.9934659096102028,0.8770145066944566,4.454082865571175,0.9141451340453602,0.054358112831059936
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,RbCuF3,1.0,133.0,1.0,2.0,-1.0,0.82,1.9,3.98,0.5488721804511277,1.2932330827067668,-3.16,-2.08,-2.62,-1.54,172.0,73.0,1.2061068702290076,1.3506493506493509,1.844,0.857035035665062,-2.23129531,-4.608164319999999,-11.111416699999976,-0.6626547127478113,-0.6024405606807606,1.136681619020348,-0.5654554674099543,-1.5474569751238811,-4.336301480858267,4.153592876586776,8.147436993683963,19.391595983680425,231.42,120.22,40.44,324.0,203.02,37.4,240.1,31.9,143.19,2.356164383561644,0.0126018866480697,1.0469325802192353,3.571122082853356,0.9348929661587796,0.9999989201960776
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,AgCaCl3,0.0,181.0,1.0,2.0,-1.0,1.93,1.0,3.16,0.5524861878453039,0.7071823204419889,-1.2300000000000002,-2.16,-1.51,-2.44,128.0,100.0,0.8145695364238412,0.8852459016393444,1.3100000000000005,0.2468600779315258,-4.402160580000001,-3.766160950000002,-8.594666479999974,-0.2462930884548233,-1.9458476867976409,0.0197235606770763,-1.4755869046631138,0.1499954621481116,-3.935229981089612,7.75596378025508,6.309260154585895,13.876021229339663,132.41000000000005,179.84,67.85000000000001,190.44,231.02,75.67,54.86,67.61,224.95,1.28,1.21162790661957,0.7775677785575544,5.995123535264568,0.7154882318515245,0.0013391450970810324
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,KNiF3,1.0,133.0,1.0,2.0,-1.0,0.82,1.91,3.98,0.5187969924812029,1.2330827067669172,-3.16,-2.0700000000000003,-2.62,-1.53,164.0,69.0,1.2061068702290076,1.3529411764705883,1.842,0.865759923226939,-2.318921259999999,-4.439555410000002,-11.111416699999976,-0.7664318763103054,-4.4395555624023935,1.136681619020348,-0.6361622968393374,-1.3513871613897686,-4.336301480858267,4.31357484707873,7.898771670150475,19.391595983680425,220.49,125.17,40.44,302.81,156.73999999999998,37.4,207.8,33.809999999999995,143.19,2.3768115942028984,0.223949053126707,1.039659618941296,3.6728834470148186,0.9268256675991772,0.9999636472151779
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,CsTiBr3,0.0,196.0,1.0,2.0,-1.0,0.79,1.54,2.96,0.4387755102040816,0.9591836734693876,-2.17,-1.42,-2.65,-1.9,213.5,86.0,0.8188679245283019,0.7473684210526316,1.31,0.7820946665764414,-2.0859241200000014,-4.219539480000003,-7.858438990000018,-0.4792429764515966,-4.219539624849625,0.0551102718918419,-0.5452966317296846,-0.3138992857783973,-3.6781509272527466,3.8635765556284616,7.119307230391988,12.554312316976,253.57,154.67,75.14,319.04,206.03,88.34,202.25,51.94,22.81,2.482558139534884,0.8587974009813242,1.0268119017504247,4.009287195569589,1.125045301864736,0.3712930600346486
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,CdCuI3,0.0,220.00000000000003,2.0,1.0,-1.0,1.69,1.9,2.66,0.35,0.5954545454545455,-0.9700000000000002,-0.7600000000000002,-1.75,-1.54,156.0,134.0,0.5542857142857144,0.4935064935064936,0.8780000000000001,0.5313919013474677,-5.657022910000005,-4.608164319999999,-7.083940510000032,-1.1571185497219154,-0.6024405606807606,0.2908709899851069,0.9482623915387752,-1.5474569751238811,-3.4344351648747526,9.27193000127873,8.147436993683963,11.131355946143175,123.55,120.22,90.24,179.66,203.02,107.49,51.92,31.9,41.190000000000005,1.164179104477612,0.9157184415428096,0.7510531622993525,12.958304003037997,0.8435512886035885,0.180867830173481
